SampleID	source	treatment	treatment2	treatment_day	treatment_cage	run	Sample_or_Control	day_in_lab	cage
X29.10.Hive.VI	larvae	Hive	Hive	three	NA	two	True Sample	Hive_three	NA
X29.10.LG.BB.I	larvae	LGBB	LGBB	three	NA	two	True Sample	LGBB_three	NA
X29.10.LG.BB.II	larvae	LGBB	LGBB	three	NA	two	True Sample	LGBB_three	NA
X29.10.LG.BB.III	larvae	LGBB	LGBB	three	NA	two	True Sample	LGBB_three	NA
X29.10.LG.BB.IV	larvae	LGBB	LGBB	three	NA	two	True Sample	LGBB_three	NA
X29.10.LG.BB.V	larvae	LGBB	LGBB	three	NA	two	True Sample	LGBB_three	NA
X29.10.LG.I	larvae	LG	LG	three	NA	two	True Sample	LG_three	NA
X29.10.LG.II	larvae	LG	LG	three	NA	two	True Sample	LG_three	NA
X29.10.LG.III	larvae	LG	LG	three	NA	two	True Sample	LG_three	NA
X29.10.LG.IV	larvae	LG	LG	three	NA	two	True Sample	LG_three	NA
X29.10.LG.V	larvae	LG	LG	three	NA	two	True Sample	LG_three	NA
X30.10.AG.I	larvae	AG	AG	four	NA	two	True Sample	AG_four	NA
X30.10.AG.II	larvae	AG	AG	four	NA	two	True Sample	AG_four	NA
X30.10.AG.III	larvae	AG	AG	four	NA	two	True Sample	AG_four	NA
X30.10.BB.I	larvae	BB	BB	four	NA	two	True Sample	BB_four	NA
X30.10.BB.II	larvae	BB	BB	four	NA	two	True Sample	BB_four	NA
X30.10.BB.III	larvae	BB	BB	four	NA	two	True Sample	BB_four	NA
X30.10.C.I	larvae	C	C	four	NA	two	True Sample	C_four	NA
X30.10.C.II	larvae	C	C	four	NA	two	True Sample	C_four	NA
X30.10.C.III	larvae	C	C	four	NA	two	True Sample	C_four	NA
X30.10.LG.BB.I	larvae	LGBB	LGBB	four	NA	two	True Sample	LGBB_four	NA
X30.10.LG.BB.II	larvae	LGBB	LGBB	four	NA	two	True Sample	LGBB_four	NA
X30.10.LG.BB.III	larvae	LGBB	LGBB	four	NA	two	True Sample	LGBB_four	NA
X30.10.LG.I	larvae	LG	LG	four	NA	two	True Sample	LG_four	NA
X30.10.LG.II	larvae	LG	LG	four	NA	two	True Sample	LG_four	NA
X30.10.LG.III	larvae	LG	LG	four	NA	two	True Sample	LG_four	NA
X31.10.Hive.I	larvae	Hive	Hive	four	NA	two	True Sample	Hive_four	NA
X31.10.Hive.II	larvae	Hive	Hive	four	NA	two	True Sample	Hive_four	NA
X31.10.Hive.III	larvae	Hive	Hive	four	NA	two	True Sample	Hive_four	NA
AG.both.pool.mix	AG-both-pool-mix	AG_inoculum	AG_inoculum	zero	NA	two	True Sample	NA	NA
BB.mix	BB-mix	BB_food	BB_food	zero	NA	two	True Sample	NA	NA
LG.both.pool.mix	LG-both-pool-mix	LG_inoculum	LG_inoculum	zero	NA	two	True Sample	NA	NA
NC.I	negative	NC	negative	NC	NA	two	Control Sample	NA	NA
NC.II	negative	NC	negative	NC	NA	two	Control Sample	NA	NA
water	water	water	negative	water	NA	two	Control Sample	NA	NA
AG1.I	adult	AG	AG	NA	AG1	one	True Sample	NA	one
AG1.II	adult	AG	AG	NA	AG1	one	True Sample	NA	one
AG1.III	adult	AG	AG	NA	AG1	one	True Sample	NA	one
AG3.I	adult	AG	AG	NA	AG3	one	True Sample	NA	two
AG3.II	adult	AG	AG	NA	AG3	one	True Sample	NA	two
BB1.I	adult	BB	BB	NA	BB1	one	True Sample	NA	one
BB1.II	adult	BB	BB	NA	BB1	one	True Sample	NA	one
BB1.III	adult	BB	BB	NA	BB1	one	True Sample	NA	one
BB2.I	adult	BB	BB	NA	BB2	one	True Sample	NA	two
BB2.II	adult	BB	BB	NA	BB2	one	True Sample	NA	two
BB2.III	adult	BB	BB	NA	BB2	one	True Sample	NA	two
BB3.I	adult	BB	BB	NA	BB3	one	True Sample	NA	three
BB3.II	adult	BB	BB	NA	BB3	one	True Sample	NA	three
BB3.III	adult	BB	BB	NA	BB3	one	True Sample	NA	three
C1.I	adult	C	C	NA	C1	one	True Sample	NA	one
C1.II	adult	C	C	NA	C1	one	True Sample	NA	one
C1.III	adult	C	C	NA	C1	one	True Sample	NA	one
C2.I	adult	C	C	NA	C2	one	True Sample	NA	two
C2.II	adult	C	C	NA	C2	one	True Sample	NA	two
C2.III	adult	C	C	NA	C2	one	True Sample	NA	two
C3.I	adult	C	C	NA	C3	one	True Sample	NA	three
C3.II	adult	C	C	NA	C3	one	True Sample	NA	three
C3.III	adult	C	C	NA	C3	one	True Sample	NA	three
C3.IV	adult	C	C	NA	C3	one	True Sample	NA	three
H1.I	adult	Hive	Hive	NA	H1	one	True Sample	NA	one
H1.II	adult	Hive	Hive	NA	H1	one	True Sample	NA	one
H2.I.1	adult	Hive	Hive	NA	H2	one	True Sample	NA	two
H2.I.2	adult	Hive	Hive	NA	H2	one	True Sample	NA	two
H2.II	adult	Hive	Hive	NA	H2	one	True Sample	NA	two
H2.III	adult	Hive	Hive	NA	H2	one	True Sample	NA	two
H3.I.1	adult	Hive	Hive	NA	H3	one	True Sample	NA	three
H3.I.2	adult	Hive	Hive	NA	H3	one	True Sample	NA	three
H3.III	adult	Hive	Hive	NA	H3	one	True Sample	NA	three
LG1.I	adult	LG	LG	NA	LG1	one	True Sample	NA	one
LG1.II	adult	LG	LG	NA	LG1	one	True Sample	NA	one
LG1.III	adult	LG	LG	NA	LG1	one	True Sample	NA	one
LG1.IV	adult	LG	LG	NA	LG1	one	True Sample	NA	one
LG2.I	adult	LG	LG	NA	LG2	one	True Sample	NA	two
LG2.II	adult	LG	LG	NA	LG2	one	True Sample	NA	two
LG2.III	adult	LG	LG	NA	LG2	one	True Sample	NA	two
LG3.I	adult	LG	LG	NA	LG3	one	True Sample	NA	three
LG3.II	adult	LG	LG	NA	LG3	one	True Sample	NA	three
LG3.III	adult	LG	LG	NA	LG3	one	True Sample	NA	three
LGBB1.I	adult	LGBB	LGBB	NA	LGBB1	one	True Sample	NA	one
LGBB1.II	adult	LGBB	LGBB	NA	LGBB1	one	True Sample	NA	one
LGBB1.III	adult	LGBB	LGBB	NA	LGBB2	one	True Sample	NA	two
LGBB2.I	adult	LGBB	LGBB	NA	LGBB2	one	True Sample	NA	two
LGBB2.II	adult	LGBB	LGBB	NA	LGBB2	one	True Sample	NA	two
LGBB2.III	adult	LGBB	LGBB	NA	LGBB2	one	True Sample	NA	two
LGBB3.I	adult	LGBB	LGBB	NA	LGBB3	one	True Sample	NA	three
LGBB3.II	adult	LGBB	LGBB	NA	LGBB3	one	True Sample	NA	three
LGBB3.III	adult	LGBB	LGBB	NA	LGBB3	one	True Sample	NA	three
LGBB3.IV	adult	LGBB	LGBB	NA	LGBB3	one	True Sample	NA	three
NG.mix	NG-mix	NG-mix	NG-mix	NA	NG-mix	one	True Sample	NA	no
